indicator_id,dimension,category,parent_row_sha256
AG_VF_09,Nacional,Total,f5ac971007b52a2b5953e1b88aee4427e3bab916d97c4ff69400db76882cc768
AG_VP_09,Nacional,Total,7de664a5d2ff7d8cb87bad3c7616790dcd1c6100a8b548bd07b3051c7280e22d
Agresor_VF_E__AG_VF_01,Nacional,Total,fc95715d2a64ac5301f8f7d28aa709e01095a87597e404b05c7bd6c40fd0d61f
Agresor_VF_E__AG_VF_02,Nacional,Total,a716097b8f9ec3f490858f03aca0870ae40f17625f3deb2f80bb0098cf5a0eaa
Agresor_VF_E__AG_VF_03,Nacional,Total,64a1725683d6913c1e4059a04205ddeba89475d5f800be8d76487e8ac054c782
Agresor_VF_E__AG_VF_04,Nacional,Total,b24d0e7b51c0d31a9c573e28d0c63725df0c635505fcf5e61b5bf644f7d50d64
Agresor_VF_E__AG_VF_05,Nacional,Total,22a9c736e5f4bef810be4ba2bf2e305f610f9f8323df1dc936fc97de0babaf02
Agresor_VF_E__AG_VF_06,Nacional,Total,569f51edada029e47c5d7678c925d8380575c0fe9e71d9cf02436fea297c7715
Agresor_VF_E__AG_VF_07,Nacional,Total,ea2a71faf665289eaedf24805bafeca6af28ae4262641655d6f19e5028b3db7b
Agresor_VF_E__AG_VF_08,Nacional,Total,abd3f9b7729ee92df72d03e0aace6d361484fc0f85a137b24fbeef46414eb563
Agresor_VF_H__AG_VF_01,Nacional,Total,ab2d46f62e11049dea8eb20e376129205b8b4f86b2d30ca0d3860615291813a9
Agresor_VF_H__AG_VF_02,Nacional,Total,03fcd43c4520f8a87b410aa309ef345f652aa168b45936073b871ec2c2d04a50
Agresor_VF_H__AG_VF_03,Nacional,Total,62d7b8dfda0134591c407369bac9f491fd0db7895f843d131eab721950a950cb
Agresor_VF_H__AG_VF_04,Nacional,Total,fa2c2440029ea5f7f7af8dbd0e6ddf0c5e91554f6a3144f062112ed159bc3912
Agresor_VF_H__AG_VF_05,Nacional,Total,bc74b46e4d75810fbcde088917ef7be8ef5030120cfb20f7d5d57d0262be29af
Agresor_VF_H__AG_VF_06,Nacional,Total,629c5974f9d1abbf6fad15cf7040503ce04de07dfe91a2ab86752961a86b0f19
Agresor_VF_H__AG_VF_07,Nacional,Total,af60a0c1dc5ca1ff819e926ff9289675cb5546351ff9a1cf95ec201e439f5f1b
Agresor_VF_H__AG_VF_08,Nacional,Total,1418c4e7e71c6fd4643071673c88f5ab35f50bf69bbbaa164e40fb8dc3d3336a
Agresor_VP_E__AG_VP_01,Nacional,Total,aaddf502a5fe31c82080a635aaacf3e75008936d32c0a9809d9b715aa785a904
Agresor_VP_E__AG_VP_02,Nacional,Total,f63843f5207f5a8d2daaf63938cf39db30a930b0298001170ac57012230f4176
Agresor_VP_E__AG_VP_03,Nacional,Total,d6e91ce0c4d440ab6d42ffa3528ae74ec776b93bc9e6b867d6eb68f378b6cec3
Agresor_VP_E__AG_VP_04,Nacional,Total,9e6ed9255f1f9d3d83f6e9c5fd86ff5e7b0a653b5506bd6bb44b6e923611ba56
Agresor_VP_E__AG_VP_05,Nacional,Total,8e99e490ae366ee3e55eccf753691323eb3a976e453e5b7fcb128d689dd263e4
Agresor_VP_E__AG_VP_06,Nacional,Total,485bb31b8db3bde935d8da34eaca051872c8e05a1bb9f970d9b902820d1b5a2a
Agresor_VP_E__AG_VP_07,Nacional,Total,86c8ec5c473d82daac7690e3b46ca3a237be705bace9c664be8109e6b61a4fe3
Agresor_VP_E__AG_VP_08,Nacional,Total,238d25726d5cdbac6cb2b180e60207acf6c0d62aabc37869ecbcf4aa08a17cdc
Agresor_VP_H__AG_VP_01,Nacional,Total,6b3e6e2fe1be8c48a1a8dedffed751f5691b5d4492cbcb74078892125b774da0
Agresor_VP_H__AG_VP_02,Nacional,Total,5f92ed0c3fa3310c65f246b637f7fe6eb666d733cf82890dba1ae48f2b3a7e0a
Agresor_VP_H__AG_VP_03,Nacional,Total,6928d4df902ac4d26f6751e4066dfca7c7a9feac696cd25419b6d09593ebaf40
Agresor_VP_H__AG_VP_04,Nacional,Total,331f425cc35e373116f6aac9bd0c96ab5bd87c7cd955471140ff5db4dcece053
Agresor_VP_H__AG_VP_05,Nacional,Total,2ee0f4d7cf1b2f627464edfb3f2b17a09a49de5432135ebd4c38268507328504
Agresor_VP_H__AG_VP_06,Nacional,Total,cf9f78bcb55815ce67037efdc529888984cfe20dfcc9623fd0484c13c84c61ed
