indicator_name,label,module,data_variable,variable_type,numerator_rule,denominator_rule,missing_rule,domain_variable,domain_value,dimensions,statistic_type,target_category,ci_method,ci_methods_by_dimension,department_categories,source_spss,sql_definition,source_reference_file,source_reference_sha256,source_dictionary_pdf,status
AG_VF_09,AG_VF_09,3.1 Características y percepciones,AG_VF_09,binary_materialized,AG_VF_09 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
AG_VP_09,AG_VP_09,3.1 Características y percepciones,AG_VP_09,binary_materialized,AG_VP_09 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_01,Agresor_VF_E__AG_VF_01,3.1 Características y percepciones,Agresor_VF_E__AG_VF_01,binary_materialized,Agresor_VF_E__AG_VF_01 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_02,Agresor_VF_E__AG_VF_02,3.1 Características y percepciones,Agresor_VF_E__AG_VF_02,binary_materialized,Agresor_VF_E__AG_VF_02 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_03,Agresor_VF_E__AG_VF_03,3.1 Características y percepciones,Agresor_VF_E__AG_VF_03,binary_materialized,Agresor_VF_E__AG_VF_03 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_04,Agresor_VF_E__AG_VF_04,3.1 Características y percepciones,Agresor_VF_E__AG_VF_04,binary_materialized,Agresor_VF_E__AG_VF_04 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_05,Agresor_VF_E__AG_VF_05,3.1 Características y percepciones,Agresor_VF_E__AG_VF_05,binary_materialized,Agresor_VF_E__AG_VF_05 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_06,Agresor_VF_E__AG_VF_06,3.1 Características y percepciones,Agresor_VF_E__AG_VF_06,binary_materialized,Agresor_VF_E__AG_VF_06 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_07,Agresor_VF_E__AG_VF_07,3.1 Características y percepciones,Agresor_VF_E__AG_VF_07,binary_materialized,Agresor_VF_E__AG_VF_07 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_E__AG_VF_08,Agresor_VF_E__AG_VF_08,3.1 Características y percepciones,Agresor_VF_E__AG_VF_08,binary_materialized,Agresor_VF_E__AG_VF_08 == 1,VF_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
