indicator_name,data_variable,variable_type,statistic_type,target_category,status,label,module,domain_variable,domain_value,dimensions,ci_method,ci_methods_by_dimension,count_method,count_methods_by_dimension,domain_mode,domain_modes_by_dimension,critical_mode,critical_modes_by_dimension,department_categories
AG_VF_09,AG_VF_09,binary_materialized,prevalence,1,auto_from_spss_reference,AG_VF_09,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,Nacional=>cell,
AG_VP_09,AG_VP_09,binary_materialized,prevalence,1,auto_from_spss_reference,AG_VP_09,SPSS_AUTO,VP_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,Nacional=>cell,
Agresor_VF_E__AG_VF_01,Agresor_VF_E__AG_VF_01,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_01,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,Nacional=>cell,
Agresor_VF_E__AG_VF_02,Agresor_VF_E__AG_VF_02,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_02,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>filter,global,,
Agresor_VF_E__AG_VF_03,Agresor_VF_E__AG_VF_03,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_03,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,,
Agresor_VF_E__AG_VF_04,Agresor_VF_E__AG_VF_04,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_04,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>filter,global,,
Agresor_VF_E__AG_VF_05,Agresor_VF_E__AG_VF_05,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_05,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>filter,global,,
Agresor_VF_E__AG_VF_06,Agresor_VF_E__AG_VF_06,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_06,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,Nacional=>cell,
Agresor_VF_E__AG_VF_07,Agresor_VF_E__AG_VF_07,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_07,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,,
Agresor_VF_E__AG_VF_08,Agresor_VF_E__AG_VF_08,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_E__AG_VF_08,SPSS_AUTO,VF_ESCUELA,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,,
Agresor_VF_H__AG_VF_01,Agresor_VF_H__AG_VF_01,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_01,SPSS_AUTO,VF_HOGAR,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,,
Agresor_VF_H__AG_VF_02,Agresor_VF_H__AG_VF_02,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_02,SPSS_AUTO,VF_HOGAR,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,Nacional=>cell,
Agresor_VF_H__AG_VF_03,Agresor_VF_H__AG_VF_03,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_03,SPSS_AUTO,VF_HOGAR,1,Nacional,wald,Nacional=>logit,target,,subpop,Nacional=>subpop,global,Nacional=>global,
Agresor_VF_H__AG_VF_04,Agresor_VF_H__AG_VF_04,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_04,SPSS_AUTO,VF_HOGAR,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>filter,global,,
Agresor_VF_H__AG_VF_05,Agresor_VF_H__AG_VF_05,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_05,SPSS_AUTO,VF_HOGAR,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,,
Agresor_VF_H__AG_VF_06,Agresor_VF_H__AG_VF_06,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_06,SPSS_AUTO,VF_HOGAR,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>filter,global,,
Agresor_VF_H__AG_VF_07,Agresor_VF_H__AG_VF_07,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_07,SPSS_AUTO,VF_HOGAR,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>filter,global,Nacional=>local,
Agresor_VF_H__AG_VF_08,Agresor_VF_H__AG_VF_08,binary_materialized,prevalence,1,auto_from_spss_reference,Agresor_VF_H__AG_VF_08,SPSS_AUTO,VF_HOGAR,1,Nacional,logit,Nacional=>logit,target,,subpop,Nacional=>subpop,global,Nacional=>local,
