block,required_columns,output_columns,sql_file,sql_sha256,bytes_processed,slot_millis,run_utc
31_factores,45,13,stage3_08_spss_31_factores.sql,b7934b0cfd85f1cf8b6dcf102b2b4a1a4f8abebd35ff85ebc2d8f31643e79506,47716274,12729,2026-08-17T02:04:02.717140+00:00
31_riesgo_total,2,1,stage3_08_spss_31_riesgo_total.sql,fc4ce65ae20347322d785f0e2d5252aa066a3c3d80cfcb357fc7bf0fecc68e69,49596366,10112,2026-08-17T02:04:02.717140+00:00
31_actitudes_componentes,6,6,stage3_08_spss_31_actitudes_componentes.sql,90b2b045fa6f278292e87b060e75417df8286ceb9a51b3ab8cab9c85fb1151ac,49746822,11456,2026-08-17T02:04:02.717140+00:00
31_actitudes_agregados,6,4,stage3_08_spss_31_actitudes_agregados.sql,c419e586fae3020528213bc06b0d0f06513f1bd88876e24e334400c272250206,50637550,10898,2026-08-17T02:04:02.717140+00:00
31_reconoce_tres_mas,1,1,stage3_08_spss_31_reconoce_tres_mas.sql,3b41602928d86140e4f3cabd1cc641b3772cd099ef801638dd5f574409a5e654,51232646,9643,2026-08-17T02:04:02.717140+00:00
31_tareas_componentes,10,30,stage3_08_spss_31_tareas_componentes.sql,dbfe4fa2f5abd782d6b19f45a3d7338506fa582401e6a6eeb27623813e964364,51383086,13128,2026-08-17T02:04:02.717140+00:00
31_tareas_conteos,40,7,stage3_08_spss_31_tareas_conteos.sql,f0dbc851a6e6a9cfee9e946b54ac5e613108c902cdba38c1fc46e982d23f2cf5,55743718,9915,2026-08-17T02:04:02.717140+00:00
31_tareas_indicador,3,3,stage3_08_spss_31_tareas_indicador.sql,e219560806a0bc64359d61d75635cf04b85fc95734e774e8817473db7f74884e,56796910,8863,2026-08-17T02:04:02.717140+00:00
31_mitos_componentes,4,4,stage3_08_spss_31_mitos_componentes.sql,7f32d2756d7103a079a4ab8801b4b3a1b072a6f23b42ddb3833328c516ded641,57248278,10630,2026-08-17T02:04:02.717140+00:00
31_mitos_agregados,4,2,stage3_08_spss_31_mitos_agregados.sql,ea145271a0fe255dac7d63f09cb86f479b6591fdbaae3a5008116549c9ba4cf2,57836790,8874,2026-08-17T02:04:02.717140+00:00
32_hogar_formas,111,18,stage3_08b_32_hogar_formas.sql,8767e51412f83d278c626219d8d766e50f4619c543260d120729a67aa47c7680,58137126,15278,2026-08-17T02:04:02.717140+00:00
32_hogar_principales,41,4,stage3_08b_32_hogar_principales.sql,f13458bab6c8b2621cd35512883bf1bd823532a30dd85b0c98191ca315d5b08e,60845334,11849,2026-08-17T02:04:02.717140+00:00
32_hogar_combinaciones_base,4,4,stage3_08b_32_hogar_combinaciones_base.sql,21b52dc05f6e3c33faa891dbc18b7e65e2a414b02120133c2b83bfd13e46fae6,61447158,10172,2026-08-17T02:04:02.717140+00:00
32_hogar_aliases_publicados,1,1,stage3_08b_32_hogar_aliases_publicados.sql,78c2c90ab8a2cf7e1f022576e9e6acd9a716e0a471503c97142050ac95d8811b,62048982,18354,2026-08-17T02:04:02.717140+00:00
32_hogar_icvac,18,7,stage3_08b_32_hogar_icvac.sql,072d34a19e9ae15b901334923c5f8944a7831541d9bbde0bab0fbf2cd75b7bbd,62199438,14569,2026-08-17T02:04:02.717140+00:00
321_hogar_agresores,111,16,stage3_08b_321_hogar_agresores.sql,4fd81bc67530e352f8310226da7ea2d84d892ed610f591a3de7ed64b237eb70d,63252630,11327,2026-08-17T02:04:02.717140+00:00
33_escuela_formas,98,24,stage3_08b_33_escuela_formas.sql,4441cc365466856ffa01fc1cea0ec5f850e8f6efcbfb761cb97d8f7e08f42933,65659926,10755,2026-08-17T02:04:02.717140+00:00
33_escuela_principales,24,9,stage3_08b_33_escuela_principales.sql,a821b12bcd9a8a1829b419c3e69f6c96676b6c476e58c506c9ac21caef313910,69270870,14836,2026-08-17T02:04:02.717140+00:00
331_escuela_agresores,146,18,stage3_08b_331_escuela_agresores.sql,99002b1f71ab4fdd115df318e1f707672cee415d27ad6d24893dbae21357c3bd,70624974,13929,2026-08-17T02:04:02.717140+00:00
34_vs_formas_contexto,481,80,stage3_08b_34_vs_formas_contexto.sql,52261df562ed1398f9c930b4ce76dbaa1a3d1d98b4adf0954fe3bbc77f3c5c98,73333182,13538,2026-08-17T02:04:02.717140+00:00
34_vs_principales,80,6,stage3_08b_34_vs_principales.sql,a96462d530a6e2cf9000867db9798ffd3e927b10a54033c3f527ac8438bdc531,85369662,11274,2026-08-17T02:04:02.717140+00:00
34_vs_icvac_cp,80,78,stage3_08b_34_vs_icvac_cp.sql,a100be4e96f147d004be2a6b9f255194890a93a0a4138b12db33dc0d9fc02ef1,86272398,14815,2026-08-17T02:04:02.717140+00:00
34_vs_contacto,4,2,stage3_08b_34_vs_contacto.sql,88f676f743bcfe11b6eb5ff5735f65685c1a5daac4eff0f08e263263c09f2809,98007966,16860,2026-08-17T02:04:02.717140+00:00
34_vs_agresores,481,18,stage3_08b_34_vs_agresores.sql,0f05593460f2e5a57566bbe6b3fdf5a8dd8452b489541bbb645e37e44975a8a5,98308878,14249,2026-08-17T02:04:02.717140+00:00
34_vs_indicadores_mujeres,66,3,stage3_08b_34_vs_indicadores_mujeres.sql,d2e97278b7646561b3ed54a2fc30965f4173304e95af61a5aca460c32af02dc4,101017086,14920,2026-08-17T02:04:02.717140+00:00
34_aliases_spss,204,237,stage3_08b_34_aliases_spss.sql,57d7029287d79fd0a8dab45e305f4180f154c5b121a69da4c0816abaf893288c,101468454,12821,2026-08-17T02:04:02.717140+00:00
336_escuela_contexto,32,15,stage3_08b_336_escuela_contexto.sql,2b0b267e042921f57d48495fa0b4f5dbcc0319fccabf5ffd545bd7ac363eb128,137126526,17696,2026-08-17T02:04:02.717140+00:00
336_escuela_ejercida,15,2,stage3_08b_336_escuela_ejercida.sql,99270627e1aa5f9f3b1201eb38db945f73e91ef566d22a64f0361bdab8409ab7,139383366,16815,2026-08-17T02:04:02.717140+00:00
33_escuela_combinaciones,5,5,stage3_08b_33_escuela_combinaciones.sql,ba4f57ece8c574c3c9c3c5bd9f9f11ca0b749f56201032965389b9c78d30c137,139684278,17347,2026-08-17T02:04:02.717140+00:00
33_escuela_aliases_publicados,2,2,stage3_08b_33_escuela_aliases_publicados.sql,eb889f46add8b2a759435f717790387a17593c65c94b945be408b4943b54fe12,140436558,13588,2026-08-17T02:04:02.717140+00:00
32_hogar_tres_formas,3,3,stage3_08b_32_hogar_tres_formas.sql,ac58264d393bab2d1c327db19e560630882ef19ffa8ac0786a048772d7b59ade,140737470,18479,2026-08-17T02:04:02.717140+00:00
35_acumulacion,9,10,stage3_08b_35_acumulacion.sql,a79cc4ccc75d845e6580b50e096c47e5f6b74edf76ac7c8746d86410ee093845,141188838,17720,2026-08-17T02:04:02.717140+00:00
354_consecuencias_base,12,2,stage3_08b_354_consecuencias_base.sql,241b27a8a5183ef6eaf1383584cb7ac61dfdd484daed1de10aaf1b4a8860f4ab,142693398,17816,2026-08-17T02:04:02.717140+00:00
