indicator_id,dimension,category_key,category_occurrence,categoria_spss,pct_spss,es_spss,ci_low_spss,ci_high_spss,cv_spss,n_unw_spss,categoria_r,pct_r,es_r,ci_low_r,ci_high_r,cv_r,n_unw_r,target_unw_r,base_unw_r,local_critical_r,cell_critical_r,pct_igual,es_igual,ci_low_igual,ci_high_igual,cv_igual,n_unw_igual,IGUAL,EXCEPCION_DOCUMENTADA,VALIDADO,estado_fila
AG_VF_09,Nacional,national_single,1,Alumno/a de otro colegio,10.0,1.2,7.9,12.7,0.122,199.0,Total,10.018131407979164,1.2210670979721885,7.84931715661657,12.703590727000178,0.1218857138367782,199.0,199,2431,1.9626330247715025,1.976931488634245,True,True,True,True,True,True,True,False,True,EN_AMBOS
AG_VP_09,Nacional,national_single,1,Alumno/a de otro colegio,16.0,1.1,14.0,18.2,0.067,1101.0,Total,15.96874005675388,1.0682902538234775,13.980573051452124,18.17988767041995,0.0668988442436102,1101.0,1101,7522,1.962167038069028,1.9638863208199449,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_01,Nacional,national_single,1,Compañero/a de salón,91.8,0.9,89.8,93.5,0.01,2228.0,Total,91.84206868593886,0.9311136957770332,89.81801120889581,93.4929175919241,0.0101382047366664,2228.0,2228,2431,1.9626330247715025,1.962713453796264,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_02,Nacional,national_single,1,Compañero/a de salón mayor,27.3,2.1,23.4,31.5,0.076,646.0,Total,27.28023157788319,2.0730321204431323,23.40665582919763,31.530951973771,0.0759902684302648,646.0,646,2431,1.9626330247715025,1.9654833203397435,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_03,Nacional,national_single,1,Compañero/a de salón de igual edad,65.2,2.0,61.3,68.9,0.03,1621.0,Total,65.21441940720088,1.9552689911607544,61.28618507603548,68.94602989410444,0.0299821574574174,1621.0,1621,2431,1.9626330247715025,1.9631705768868173,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_04,Nacional,national_single,1,Compañero/a de salón menor,8.2,1.0,6.4,10.5,0.126,164.0,Total,8.24048131004304,1.0353694644956757,6.423690956308538,10.513378237199031,0.1256442949799333,164.0,164,2431,1.9626330247715025,1.979124109423783,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_05,Nacional,national_single,1,"Otro/a alumno/a del colegio, pero no del salón,",18.5,1.3,16.1,21.3,0.072,456.0,Total,18.53913014014392,1.3362092373264385,16.05898401643674,21.30509174004917,0.0720750772676794,456.0,456,2431,1.9626330247715025,1.9671786747533688,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_06,Nacional,national_single,1,"Otro/a alumno/a del colegio, pero no del salón, mayor",8.2,0.9,6.6,10.2,0.109,230.0,Total,8.22843850572418,0.8944559483729337,6.627041318125047,10.174639361535714,0.1087029996943768,230.0,230,2431,1.9626330247715025,1.973305433841471,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_07,Nacional,national_single,1,"Otro/a alumno/a del colegio, pero no del salón, de igual edad",7.7,1.1,5.8,10.0,0.139,173.0,Total,7.659018565454184,1.0650838257828414,5.813484380212881,10.028052818075812,0.1390627032276532,173.0,173,2431,1.9626330247715025,1.97928011660484,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_E__AG_VF_08,Nacional,national_single,1,"Otro/a alumno/a del colegio, pero no del salón, menor",3.4,0.7,2.3,5.1,0.205,73.0,Total,3.441289535550988,0.7059731274249569,2.29508901296766,5.129864499384727,0.2051478436009956,73.0,73,2431,1.9626330247715025,2.0180817028184443,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_01,Nacional,national_single,1,Madre,75.6,1.6,72.4,78.6,0.021,2393.0,Total,75.64413269865989,1.588352540622607,72.39432849025654,78.62432409991447,0.0209976965027817,2393.0,2393,3134,1.9624253304941577,1.962657266433365,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_02,Nacional,national_single,1,Padre,36.5,1.8,33.0,40.1,0.049,1177.0,Total,36.46852434206573,1.798802898846206,33.01444512875605,40.06782071044637,0.0493248062897714,1177.0,1177,3134,1.9624253304941577,1.9635377008920107,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_03,Nacional,national_single,1,Madrastra,0.2,0.1,0.1,0.4,0.4479999999999999,10.0,Total,0.186185190003987,0.0834532543673933,0.077223724450037,0.4481999683993384,0.4482271353892662,10.0,10,3134,1.9624253304941577,3.182446305283708,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_04,Nacional,national_single,1,Padrastro,1.3,0.3,0.9,2.0,0.215,45.0,Total,1.3131579612884403,0.2825349633351931,0.8600453094485467,2.000175578604209,0.2151568750022855,45.0,45,3134,1.9624253304941577,2.063898561628025,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_05,Nacional,national_single,1,Hermano(a)/ Hermanastro(a),4.3,0.6,3.3,5.6,0.135,141.0,Total,4.320146877983259,0.5827616810351487,3.3106764448907025,5.619529383601969,0.1348939509452963,141.0,141,3134,1.9624253304941577,1.9834952585628791,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_06,Nacional,national_single,1,Tío(a) (hermano(a) de la madre o padre),1.3,0.4,0.8,2.3,0.287,34.0,Total,1.3201238437173892,0.3784478893274459,0.7508521532014287,2.310949231150212,0.2866760502270449,34.0,34,3134,1.9624253304941577,2.119905299221254,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_07,Nacional,national_single,1,Cuidador/a CAR,0.1,0.1,0.0,1.0,0.961,2.0,Total,0.1468024453485079,0.1411180804378006,0.0222229007395582,0.9630363354980312,0.9612788131886174,2.0,2,3134,1.9624253304941577,,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VF_H__AG_VF_08,Nacional,national_single,1,"Otros familiares (Bisabuela/o, tatarabuela/o, tía/o abuela/o, Abuelo(a)/ Abuelastro(a), Sobrina/o, Prima/o, Cuñada/o)",0.6,0.4,0.2,1.9,0.568,10.0,Total,0.6212939669701742,0.3528305029353002,0.2032792260923414,1.8826801621527305,0.5678962322069968,10.0,10,3134,1.9624253304941577,4.302652729749462,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_01,Nacional,national_single,1,Compañero/a del salón,92.0,0.5,90.8,93.0,0.006,6932.0,Total,91.9530561505972,0.5499328447378378,90.80583503837806,92.9682153064276,0.0059805825685356,6932.0,6932,7522,1.962167038069028,1.9621773153187216,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_02,Nacional,national_single,1,Compañero/a del salón mayor,26.4,1.2,24.2,28.8,0.044,2192.0,Total,26.417251268363444,1.1632762969413737,24.19813129651989,28.762658588268497,0.0440347212934481,2192.0,2192,7522,1.962167038069028,1.962678842007058,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_03,Nacional,national_single,1,Compañero/a del salón de igual edad,73.3,1.1,71.1,75.4,0.015,5499.0,Total,73.32322590264954,1.099676714202497,71.11071666782163,75.42484744573466,0.0149976586636071,5499.0,5499,7522,1.962167038069028,1.962236687437444,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_04,Nacional,national_single,1,Compañero/a del salón menor,10.8,0.6,9.7,12.1,0.057,707.0,Total,10.808121994299034,0.6176271564216878,9.652966937362532,12.083024960320584,0.0571447247493568,707.0,707,7522,1.962167038069028,1.965067718187376,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_05,Nacional,national_single,1,Otro/a alumno/a del colegio no del salón,42.1,1.0,40.1,44.1,0.024,2994.0,Total,42.07008980880211,1.017871937332159,40.08662692601222,44.07948924862173,0.0241946699414745,2994.0,2994,7522,1.962167038069028,1.9623925733892695,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_06,Nacional,national_single,1,Otro/a alumno/a del colegio mayor,20.6,1.0,18.7,22.7,0.05,1607.0,Total,20.61510514852539,1.025461482683401,18.67549733075157,22.699928795395618,0.0497432089380709,1607.0,1607,7522,1.962167038069028,1.962944933926012,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_07,Nacional,national_single,1,Otro/a alumno/a del colegio de igual edad,20.0,1.0,18.2,22.0,0.049,1372.0,Total,20.0380609009888,0.9818943767295462,18.180599845318493,22.03418754942911,0.0490014668375967,1372.0,1372,7522,1.962167038069028,1.963423060363903,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_E__AG_VP_08,Nacional,national_single,1,Otro/a alumno/a del colegio menor,9.6,0.7,8.3,11.1,0.072,620.0,Total,9.609581699704988,0.6921159550311728,8.332669413253337,11.058564188631289,0.0720235257537194,620.0,620,7522,1.962167038069028,1.9654073333726645,True,True,True,True,True,True,True,False,True,EN_AMBOS
Agresor_VP_H__AG_VP_01,Nacional,national_single,1,Madre,70.6,1.3,67.9,73.1,0.019,3735.0,Total,70.56245928072133,1.314878504395151,67.91801415224069,73.07534062429434,0.018634249965185,3735.0,3735,5269,1.9622454301924284,1.9623851374988108,True,True,True,True,True,True,True,False,True,EN_AMBOS
