indicator_id,dimension,category_key,category_occurrence,categoria_spss,pct_spss,es_spss,ci_low_spss,ci_high_spss,cv_spss,n_unw_spss,categoria_r,pct_r,es_r,ci_low_r,ci_high_r,cv_r,n_unw_r,target_unw_r,base_unw_r,local_critical_r,cell_critical_r,pct_igual,es_igual,ci_low_igual,ci_high_igual,cv_igual,n_unw_igual,IGUAL,EXCEPCION_DOCUMENTADA,VALIDADO,estado_fila
VP_ESCUELA,Departamento,amazonas,1,Amazonas,38.8,3.4,32.0,45.5,0.088,907.0,Amazonas,38.7607061953096,3.4269133033955503,32.03661307551376,45.48479931510543,0.0884120450780187,907.0,364,907,2.000995378088267,2.001717484145236,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,ancash,1,Áncash,43.9,2.9,38.2,49.5,0.066,705.0,Áncash,43.874263805347546,2.88279152712632,38.21781528820851,49.53071232248658,0.0657057526917398,705.0,292,705,2.016692199227824,2.016692199227824,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,apurimac,1,Apurímac,50.9,2.5,46.1,55.8,0.049,698.0,Apurímac,50.92960580832767,2.471641051264745,46.07989321975802,55.77931839689732,0.0485305356685207,698.0,355,698,2.016692199227824,2.016692199227824,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,arequipa,1,Arequipa,42.2,1.7,38.9,45.5,0.04,760.0,Arequipa,42.21950528080137,1.6923484787167913,38.89887596964805,45.5401345919547,0.0400845170368767,760.0,322,760,2.0226909200367604,2.0226909200367604,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,ayacucho,1,Ayacucho,44.7,3.0,38.9,50.6,0.067,650.0,Ayacucho,44.7071161320931,2.984288227831504,38.85151659872687,50.56271566545932,0.0667519734221735,650.0,295,650,2.0210753903062733,2.0226909200367604,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,cajamarca,1,Cajamarca,33.6,2.3,29.1,38.2,0.069,783.0,Cajamarca,33.60439748786892,2.316858646123794,29.05839007457828,38.150404901159554,0.068945103002075,783.0,258,783,2.004044783289145,2.0057459953178687,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,callao,1,Callao,35.7,2.2,31.3,40.1,0.063,610.0,Callao,35.71673118026904,2.248085559620314,31.305666380591347,40.12779597994673,0.0629420858329337,610.0,218,610,2.0422724563012378,2.0422724563012378,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,cusco,1,Cusco,35.8,2.5,30.8,40.8,0.071,716.0,Cusco,35.82781091918243,2.546438501208622,30.83133505590503,40.82428678245984,0.0710743535783606,716.0,251,716,2.016692199227824,2.0180817028184443,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,huancavelica,1,Huancavelica,30.7,2.8,25.3,36.1,0.09,771.0,Huancavelica,30.724107988942407,2.764973442989379,25.298835372328128,36.149380605556686,0.0899936116610608,771.0,229,771,2.0057459953178687,2.00957523712924,True,True,True,True,True,True,True,False,True,EN_AMBOS
VP_ESCUELA,Departamento,huanuco,1,Huánuco,35.8,3.3,29.4,42.3,0.092,687.0,Huánuco,35.84962759536246,3.29513323660085,29.38410577924756,42.31514941147737,0.0919154104972379,687.0,258,687,2.016692199227824,2.016692199227824,True,True,True,True,True,True,True,False,True,EN_AMBOS
